epoch (val_ndcg@5, val_hr@5) (test_ndcg@5, test_hr@5)
20 (0.3008293578200549, 0.43902439024390244) (0.2772374406673142, 0.4188759278897137)
40 (0.354092832297304, 0.5111346765641569) (0.33994461903715595, 0.5217391304347826)
60 (0.3710700005445726, 0.5387062566277837) (0.34588120671706724, 0.5143160127253447)
80 (0.3775835060718563, 0.5334040296924708) (0.3630137004020949, 0.5323435843054083)
100 (0.4057023056566919, 0.5662778366914104) (0.36520810346853283, 0.545068928950159)
120 (0.3962442067109317, 0.5715800636267232) (0.37834337810201796, 0.5503711558854719)
140 (0.38902351258991913, 0.5556733828207847) (0.37358533463324306, 0.5471898197242842)
160 (0.3960565946749669, 0.5567338282078473) (0.3801076526770486, 0.5556733828207847)
180 (0.3976640087042697, 0.5620360551431601) (0.3791015132408716, 0.545068928950159)
200 (0.3923322796305065, 0.5567338282078473) (0.36515019009670613, 0.528101802757158)
220 (0.3908917034725434, 0.5535524920466596) (0.3722201882135875, 0.5482502651113468)
240 (0.3975006154973336, 0.5567338282078473) (0.3750308635759244, 0.5514316012725344)
260 (0.3969340481382391, 0.5705196182396607) (0.3711825993415235, 0.5493107104984093)
280 (0.39260501455219593, 0.5524920466595971) (0.37003971821655607, 0.542948038176034)
300 (0.3975032152386698, 0.5609756097560976) (0.358124690389155, 0.5249204665959704)
320 (0.3975596496256764, 0.5694591728525981) (0.3616050605035934, 0.5365853658536586)
340 (0.4003943868022242, 0.5609756097560976) (0.3657245324412763, 0.5238600212089077)
360 (0.3940669383888959, 0.5546129374337222) (0.3652261940650719, 0.5365853658536586)
380 (0.3933087030743194, 0.5514316012725344) (0.353887371222314, 0.5259809119830329)
400 (0.3909350541377038, 0.5577942735949099) (0.35669440788037454, 0.5270413573700954)
420 (0.3865462458569876, 0.5493107104984093) (0.35854050908603746, 0.5344644750795334)
440 (0.3985806588853035, 0.5567338282078473) (0.3562559813996213, 0.5259809119830329)
460 (0.3937383702979117, 0.5567338282078473) (0.36325101594297055, 0.5344644750795334)
480 (0.3832714476319421, 0.542948038176034) (0.3538134496043214, 0.5185577942735949)
500 (0.3858019997349661, 0.545068928950159) (0.35255682050633996, 0.5174973488865323)
520 (0.3748362725280165, 0.5408271474019088) (0.34917377218756207, 0.5111346765641569)
540 (0.39408250960578095, 0.5514316012725344) (0.3569555343564929, 0.5291622481442205)
560 (0.3837262675748197, 0.5535524920466596) (0.3470285523712846, 0.5174973488865323)
580 (0.38771036731135566, 0.5471898197242842) (0.37403958177795615, 0.542948038176034)
600 (0.38199048805991426, 0.5461293743372216) (0.34876791303542404, 0.5174973488865323)
620 (0.3717987060170977, 0.528101802757158) (0.36287537322390706, 0.5355249204665959)
640 (0.38487273271280875, 0.5440084835630965) (0.35377548314025253, 0.5259809119830329)
660 (0.38448387325213595, 0.5376458112407211) (0.3608299683112378, 0.5397667020148462)
680 (0.3695106148476468, 0.5344644750795334) (0.3520559328990395, 0.5302226935312832)
700 (0.3855218225003452, 0.5387062566277837) (0.3607079813358135, 0.5312831389183457)
720 (0.3768491370997239, 0.5387062566277837) (0.35574250680263986, 0.5196182396606575)
740 (0.3831803599862126, 0.5556733828207847) (0.3603644752449391, 0.5259809119830329)
760 (0.37959207591565347, 0.5440084835630965) (0.35859779353655113, 0.5291622481442205)
780 (0.3753946562919026, 0.5408271474019088) (0.3555282879023828, 0.5259809119830329)
800 (0.37673106741114504, 0.5418875927889714) (0.3421559656719105, 0.5100742311770944)
820 (0.38021080860427076, 0.5418875927889714) (0.35025441607729707, 0.5259809119830329)
840 (0.39164052218909756, 0.5514316012725344) (0.3492442768447517, 0.5121951219512195)
860 (0.3882501153841382, 0.5588547189819725) (0.3456627763143688, 0.5090137857900318)
880 (0.3705485648118032, 0.5259809119830329) (0.35038376297079754, 0.5164369034994698)
900 (0.37857350292487785, 0.5355249204665959) (0.3647989602465439, 0.5259809119830329)
920 (0.3814413518086576, 0.5440084835630965) (0.3513832283639751, 0.5249204665959704)
940 (0.3759614461104178, 0.5365853658536586) (0.35826069151161477, 0.5174973488865323)
960 (0.38163980545215664, 0.5312831389183457) (0.3577190821159854, 0.5291622481442205)
980 (0.38104636268360187, 0.5440084835630965) (0.3495490048649985, 0.5238600212089077)
1000 (0.38243460789171696, 0.5376458112407211) (0.36282583677121527, 0.5174973488865323)
