epoch (val_ndcg@5, val_hr@5) (test_ndcg@5, test_hr@5)
20 (0.4464326402180029, 0.6056291390728477) (0.438944369239535, 0.6018211920529801)
40 (0.4881668281692502, 0.648841059602649) (0.46625483766252135, 0.6258278145695364)
60 (0.5014128015207541, 0.659271523178808) (0.48835894496964394, 0.654635761589404)
80 (0.5032441253979816, 0.6577814569536424) (0.4869973820343977, 0.6486754966887417)
100 (0.5054003546278774, 0.6637417218543047) (0.48714439138543486, 0.6475165562913907)
120 (0.507255403410618, 0.6665562913907285) (0.4925110249815019, 0.6495033112582781)
140 (0.5140985214474507, 0.6670529801324503) (0.4969357114229562, 0.6548013245033113)
160 (0.506936704777601, 0.6609271523178808) (0.5007889511777796, 0.6630794701986755)
180 (0.513449639107372, 0.6647350993377483) (0.4996051353641967, 0.6551324503311259)
200 (0.5100078279546606, 0.6657284768211921) (0.4938425307698879, 0.6591059602649006)
220 (0.5115255322250948, 0.6688741721854304) (0.502001066609467, 0.6653973509933775)
240 (0.5163772828159225, 0.6647350993377483) (0.5006029939507344, 0.660430463576159)
260 (0.5160337974838811, 0.6645695364238411) (0.5007561839402604, 0.6597682119205298)
280 (0.5094989984052413, 0.6634105960264901) (0.5048469578758096, 0.6644039735099337)
300 (0.5172069168470308, 0.6698675496688742) (0.5033149856401964, 0.6642384105960265)
320 (0.5170494523537257, 0.6700331125827814) (0.503463975247147, 0.6596026490066225)
340 (0.5132188884126246, 0.6667218543046357) (0.49943471473115925, 0.6596026490066225)
360 (0.5130021722179231, 0.672682119205298) (0.5024955513116568, 0.6620860927152318)
380 (0.5150742294748116, 0.669205298013245) (0.5007421080315544, 0.6650662251655629)
400 (0.5161912309028048, 0.6700331125827814) (0.4960466782299954, 0.6561258278145695)
420 (0.5162403877466832, 0.6720198675496689) (0.5005462947026601, 0.6625827814569536)
440 (0.5191383663050625, 0.6728476821192053) (0.5021469394516391, 0.6600993377483444)
460 (0.5173175034624501, 0.672682119205298) (0.4997468080115431, 0.6605960264900662)
480 (0.5182845267809764, 0.6738410596026491) (0.5013181335807243, 0.6622516556291391)
500 (0.5159601318121717, 0.6665562913907285) (0.49811379978361636, 0.6569536423841059)
520 (0.5184867419946881, 0.6708609271523179) (0.4970363157826697, 0.6561258278145695)
540 (0.5188007794378784, 0.6769867549668874) (0.49824795586426573, 0.6609271523178808)
560 (0.5204103069562886, 0.6766556291390728) (0.5029842516972958, 0.6614238410596026)
580 (0.5108729383692614, 0.669205298013245) (0.49995449829670074, 0.6589403973509934)
600 (0.5192982938231023, 0.6746688741721855) (0.5029693314294927, 0.6619205298013245)
620 (0.513946491178029, 0.6673841059602649) (0.5017736463931097, 0.6687086092715232)
640 (0.5190236358706186, 0.6776490066225166) (0.4993889190157505, 0.66158940397351)
660 (0.5169827240389712, 0.6697019867549668) (0.49356874255174304, 0.6524834437086092)
680 (0.5178396895752322, 0.6670529801324503) (0.4971962295604254, 0.6549668874172185)
700 (0.5205387709478378, 0.6817880794701987) (0.5006934722667692, 0.6644039735099337)
720 (0.5196682906448734, 0.6746688741721855) (0.4984906425423542, 0.6624172185430464)
740 (0.5157473185217296, 0.6682119205298013) (0.49848232609589166, 0.6582781456953642)
760 (0.5130801856257915, 0.672682119205298) (0.501384721424545, 0.6625827814569536)
780 (0.5172316286397072, 0.6718543046357616) (0.49822641135783785, 0.6602649006622516)
800 (0.5188179361658386, 0.6736754966887417) (0.49917038280058657, 0.659933774834437)
820 (0.5201136479214994, 0.6748344370860927) (0.49852535666557235, 0.660430463576159)
840 (0.5178311856970716, 0.6731788079470199) (0.5024786858549333, 0.6657284768211921)
860 (0.5200461386867338, 0.6754966887417219) (0.49846567888858617, 0.6650662251655629)
880 (0.5190476976874011, 0.6754966887417219) (0.4975428542867837, 0.6600993377483444)
900 (0.5221056597104164, 0.676158940397351) (0.5014217161519183, 0.6627483443708609)
920 (0.5171632359710289, 0.6733443708609271) (0.4995134572499438, 0.666887417218543)
940 (0.5184014790969297, 0.6746688741721855) (0.5037329226537479, 0.6649006622516557)
960 (0.5195831860980382, 0.6764900662251656) (0.49793381389075786, 0.6587748344370861)
980 (0.5155308029401191, 0.668046357615894) (0.5015242957895338, 0.659271523178808)
1000 (0.5214981877300952, 0.6786423841059602) (0.4996811945794165, 0.66158940397351)
