epoch (val_ndcg@3, val_hr@3) (test_ndcg@3, test_hr@3)
20 (0.22105054217542988, 0.2926829268292683) (0.23262690301848418, 0.30116648992576883)
40 (0.2568018371155914, 0.33510074231177095) (0.26975456402818027, 0.35737009544008486)
60 (0.27060070740418346, 0.3457051961823966) (0.2839317329003209, 0.37751855779427357)
80 (0.2984248224549335, 0.3753976670201485) (0.3033859759884893, 0.38918345705196183)
100 (0.31318251945917563, 0.39766702014846234) (0.30848597337524936, 0.4019088016967126)
120 (0.3226762225041686, 0.40721102863202546) (0.30713476002499973, 0.3997879109225875)
140 (0.316717001484627, 0.4061505832449629) (0.30583485990759296, 0.4029692470837752)
160 (0.31758829757991514, 0.4029692470837752) (0.31088455185578273, 0.3934252386002121)
180 (0.30430757752234766, 0.3860021208907741) (0.3237356600969589, 0.4146341463414634)
200 (0.31378820031056204, 0.3934252386002121) (0.31600970196182776, 0.41145281018027574)
220 (0.30472410908196024, 0.3796394485683987) (0.32769975393880124, 0.4209968186638388)
240 (0.309976030578703, 0.3860021208907741) (0.31314428648311193, 0.4029692470837752)
260 (0.3096098044576607, 0.38812301166489926) (0.3194435731101385, 0.41675503711558853)
280 (0.3154040211104412, 0.38918345705196183) (0.33127246894031614, 0.4284199363732768)
300 (0.31102339570898685, 0.3934252386002121) (0.31319459192168214, 0.4061505832449629)
320 (0.31738606803136216, 0.3944856839872747) (0.31077086072186355, 0.4061505832449629)
340 (0.30982410646871994, 0.3934252386002121) (0.3198218716936868, 0.4241781548250265)
360 (0.302464374454631, 0.37751855779427357) (0.3042693445462841, 0.38812301166489926)
380 (0.3164896192167888, 0.39766702014846234) (0.30248952717391614, 0.383881230116649)
400 (0.31021548530904725, 0.3828207847295864) (0.3003555561430121, 0.3902439024390244)
420 (0.3072615314156974, 0.38812301166489926) (0.30498871653158965, 0.39766702014846234)
440 (0.29987664668232333, 0.3711558854718982) (0.304155653412365, 0.39766702014846234)
460 (0.30456011250947107, 0.383881230116649) (0.31962064993940636, 0.41145281018027574)
480 (0.3067816141607365, 0.39236479321314954) (0.3041938863884291, 0.391304347826087)
500 (0.3239006644637203, 0.4019088016967126) (0.3062765441864905, 0.3997879109225875)
520 (0.3130557480684778, 0.40084835630965004) (0.30924357833661853, 0.3987274655355249)
540 (0.30885219949629145, 0.39236479321314954) (0.294687103086657, 0.3870625662778367)
560 (0.30190899904181445, 0.38176033934252385) (0.30789236498636907, 0.4061505832449629)
580 (0.30620108602863505, 0.3828207847295864) (0.3087254281055937, 0.39660657476139977)
600 (0.310026336017273, 0.3828207847295864) (0.30478648698303656, 0.3997879109225875)
620 (0.31590909108468734, 0.4019088016967126) (0.29406834197849185, 0.391304347826087)
640 (0.3165278521928525, 0.40084835630965004) (0.3015427729207724, 0.38918345705196183)
660 (0.3029442917095919, 0.37751855779427357) (0.3154794792682962, 0.4029692470837752)
680 (0.32342074720875924, 0.4019088016967126) (0.30250159963642237, 0.391304347826087)
700 (0.3174997591652812, 0.40402969247083775) (0.29713699480003297, 0.383881230116649)
720 (0.3037139691334677, 0.38176033934252385) (0.28780728832752905, 0.37645811240721105)
740 (0.30592339832222687, 0.383881230116649) (0.3046858761058963, 0.3955461293743372)
760 (0.3144069614187275, 0.39766702014846234) (0.2909503915126529, 0.3828207847295864)
780 (0.3198097992311807, 0.4061505832449629) (0.30001448274125514, 0.4019088016967126)
800 (0.3171083803249538, 0.40084835630965004) (0.28679714837903664, 0.37857900318133614)
820 (0.32088332487502175, 0.3997879109225875) (0.29555839918194554, 0.38812301166489926)
840 (0.30050748025299495, 0.383881230116649) (0.30122685223830037, 0.383881230116649)
860 (0.3130557480684778, 0.4061505832449629) (0.29461164492880176, 0.3860021208907741)
880 (0.3060622421754308, 0.37645811240721105) (0.2977295953946407, 0.3870625662778367)
900 (0.3169443837524649, 0.3997879109225875) (0.3053046372140615, 0.3997879109225875)
920 (0.3128786712392101, 0.40402969247083775) (0.31178100067035597, 0.40084835630965004)
940 (0.3126140637895806, 0.3987274655355249) (0.30204683510074626, 0.3997879109225875)
960 (0.30919327289804854, 0.38812301166489926) (0.2923770630207576, 0.38176033934252385)
980 (0.32363504921981856, 0.4061505832449629) (0.29829805106423585, 0.38494167550371156)
1000 (0.31909042724587533, 0.4050901378579003) (0.309798953749435, 0.4050901378579003)
