epoch (val_ndcg@5, val_hr@5) (test_ndcg@5, test_hr@5)
20 (0.42147490539591365, 0.5766556291390729) (0.43389374701881034, 0.5958609271523179)
40 (0.4641156558785105, 0.6076158940397351) (0.47294350821016956, 0.635430463576159)
60 (0.47991725337515456, 0.6195364238410596) (0.48228621660798, 0.6400662251655629)
80 (0.4735399229094153, 0.6114238410596027) (0.4722571634935294, 0.6198675496688741)
100 (0.4758242633918244, 0.6144039735099338) (0.4782484408611035, 0.6248344370860928)
120 (0.47859535176891016, 0.6201986754966887) (0.478461627955723, 0.6279801324503311)
140 (0.48622580004914595, 0.6240066225165563) (0.4856473345388963, 0.6370860927152318)
160 (0.48113979708329185, 0.6175496688741722) (0.47709621869767027, 0.6235099337748344)
180 (0.4842646278740896, 0.6198675496688741) (0.4854995156493896, 0.6309602649006623)
200 (0.48401785609962306, 0.6182119205298013) (0.4812180329540477, 0.6298013245033113)
220 (0.4843376919501855, 0.6193708609271523) (0.4796790321422381, 0.6279801324503311)
240 (0.4820597819710492, 0.6152317880794702) (0.47747645808108097, 0.6240066225165563)
260 (0.48849487530158914, 0.6236754966887417) (0.48688294089278766, 0.6370860927152318)
280 (0.48788594602897456, 0.6221854304635761) (0.4760787184907412, 0.6243377483443708)
300 (0.48790015340487947, 0.6259933774834437) (0.4768998777472716, 0.6245033112582782)
320 (0.48924903418854565, 0.6230132450331126) (0.4798397795232128, 0.6268211920529801)
340 (0.48607750092810925, 0.6205298013245033) (0.47284099173492594, 0.6211920529801325)
360 (0.4865626177425041, 0.6235099337748344) (0.4821804817303778, 0.6304635761589404)
380 (0.48272693802710137, 0.6177152317880795) (0.47266439527156395, 0.6144039735099338)
400 (0.48936631571486683, 0.623841059602649) (0.4822164995874331, 0.626158940397351)
420 (0.49156107010023764, 0.6235099337748344) (0.4888855502912119, 0.6359271523178808)
440 (0.49058034070738155, 0.627317880794702) (0.4816437153317337, 0.6251655629139072)
460 (0.4878356064062442, 0.6192052980132451) (0.4728569561192045, 0.6175496688741722)
480 (0.4910814390013911, 0.623841059602649) (0.4817978575478257, 0.6302980132450331)
500 (0.4906766847860242, 0.6258278145695364) (0.4819521828524663, 0.6281456953642384)
520 (0.4948049468645709, 0.628476821192053) (0.4852209519227171, 0.6316225165562914)
540 (0.4907896333246796, 0.6256622516556292) (0.4842939577918658, 0.628476821192053)
560 (0.4848994731567201, 0.6201986754966887) (0.4801011951903227, 0.623841059602649)
580 (0.49706585069249565, 0.6332781456953642) (0.4929250354530447, 0.6437086092715232)
600 (0.48808899242529674, 0.6271523178807947) (0.4806238072490146, 0.6264900662251656)
620 (0.4919754426292813, 0.6268211920529801) (0.47485743092081734, 0.6228476821192053)
640 (0.48964286102514776, 0.6233443708609272) (0.4732717908929164, 0.6205298013245033)
660 (0.4945891977567058, 0.6347682119205298) (0.4879705209602093, 0.6395695364238411)
680 (0.49642720923788125, 0.6311258278145695) (0.491148878310519, 0.6372516556291391)
700 (0.4926341793744304, 0.6307947019867549) (0.4844130128630083, 0.6278145695364239)
720 (0.49576593866603785, 0.6299668874172185) (0.48873478713943963, 0.6372516556291391)
740 (0.49357766372311046, 0.6299668874172185) (0.483372823513374, 0.6309602649006623)
760 (0.5061509079798113, 0.6432119205298014) (0.5035882549432499, 0.6591059602649006)
780 (0.4899280963804158, 0.6263245033112583) (0.4795582232858869, 0.6307947019867549)
800 (0.4955260133695258, 0.6349337748344371) (0.4913018727740424, 0.6417218543046358)
820 (0.4909408225341369, 0.6306291390728477) (0.4833043786823652, 0.6341059602649006)
840 (0.49247188458179764, 0.6355960264900662) (0.49189987435046006, 0.6417218543046358)
860 (0.4964815693979135, 0.6307947019867549) (0.4897513460992385, 0.6415562913907285)
880 (0.4952369247198321, 0.6317880794701987) (0.48700676556220784, 0.640728476821192)
900 (0.49535289861627413, 0.6306291390728477) (0.48704451335837595, 0.6352649006622516)
920 (0.4991939118122029, 0.6397350993377483) (0.49151672000911356, 0.6417218543046358)
940 (0.49515092750959, 0.6367549668874172) (0.4943846129367621, 0.6445364238410596)
960 (0.4994731534934583, 0.6334437086092716) (0.4919572659662792, 0.6427152317880794)
980 (0.5041450280372975, 0.6389072847682119) (0.49977563685129917, 0.6526490066225166)
1000 (0.4957831208983719, 0.6369205298013245) (0.4951809746266085, 0.6480132450331125)
