epoch (val_ndcg, val_hr) (test_ndcg, test_hr)
20 (0.3030776496221376, 0.43902439024390244) (0.2907589011161202, 0.4411452810180276)
40 (0.37536099734226563, 0.5355249204665959) (0.3477446367070047, 0.5270413573700954)
60 (0.38152179188672614, 0.5387062566277837) (0.36338462842888747, 0.5355249204665959)
80 (0.41198845590379146, 0.5864262990455992) (0.3825772823412293, 0.5630965005302226)
100 (0.4198667460426922, 0.5970307529162248) (0.3858565173919239, 0.5652173913043478)
120 (0.43052547601276153, 0.6044538706256628) (0.3958604372357546, 0.5673382820784729)
140 (0.41940763137190357, 0.5980911983032874) (0.3988861551754814, 0.5652173913043478)
160 (0.4381306517557336, 0.6033934252386002) (0.3991480783410786, 0.5758218451749735)
180 (0.4330257584233505, 0.6055143160127253) (0.40679972463063074, 0.5853658536585366)
200 (0.422806192636577, 0.5991516436903499) (0.400504930236455, 0.5758218451749735)
220 (0.42598033664785523, 0.5970307529162248) (0.39517878011960283, 0.5768822905620361)
240 (0.42803945217050965, 0.5864262990455992) (0.38598107568913687, 0.5705196182396607)
260 (0.4317844027469239, 0.6044538706256628) (0.38832497017644024, 0.5588547189819725)
280 (0.4246709388547974, 0.5991516436903499) (0.39535520020928916, 0.574761399787911)
300 (0.4295495983794592, 0.6033934252386002) (0.3923486738085773, 0.5715800636267232)
320 (0.43064948132585085, 0.6055143160127253) (0.3969799735902551, 0.5768822905620361)
340 (0.4250266574727435, 0.584305408271474) (0.38584223255188005, 0.5694591728525981)
360 (0.42623325182516375, 0.6002120890774125) (0.3882044102437015, 0.5577942735949099)
380 (0.42735152818919736, 0.5811240721102863) (0.3932363640819368, 0.5694591728525981)
400 (0.43883688807705884, 0.6076352067868505) (0.38167812153902264, 0.5535524920466596)
420 (0.43134770038824, 0.5959703075291622) (0.38288578626652986, 0.5758218451749735)
440 (0.4262357136497755, 0.5970307529162248) (0.38756407828143224, 0.5577942735949099)
460 (0.42889214027829553, 0.5938494167550371) (0.3936906112266498, 0.5620360551431601)
480 (0.42377998935139993, 0.591728525980912) (0.3827216262215564, 0.5535524920466596)
500 (0.4346986973374709, 0.601272534464475) (0.3998303089713416, 0.574761399787911)
520 (0.4135882634317319, 0.5726405090137858) (0.39242691785808137, 0.5673382820784729)
540 (0.42031927049722967, 0.5864262990455992) (0.380501522477482, 0.5588547189819725)
560 (0.4148178230803802, 0.584305408271474) (0.38361558407602303, 0.5567338282078473)
580 (0.4254757279414236, 0.591728525980912) (0.3966230226854433, 0.5758218451749735)
600 (0.42086506297575205, 0.5970307529162248) (0.40098616157185807, 0.5853658536585366)
620 (0.41860667228030685, 0.5800636267232238) (0.4046820653829427, 0.584305408271474)
640 (0.4209317079011387, 0.5853658536585366) (0.38232280292045734, 0.5620360551431601)
660 (0.4178012805440745, 0.5779427359490986) (0.383485008360724, 0.5535524920466596)
680 (0.4290164782639285, 0.5906680805938495) (0.3838562156860325, 0.5609756097560976)
700 (0.4266597991673364, 0.5885471898197243) (0.3946152786666202, 0.5715800636267232)
720 (0.4271462618700273, 0.5896076352067868) (0.3811965100134339, 0.5588547189819725)
740 (0.41976616430104613, 0.5832449628844114) (0.3930327643297931, 0.5768822905620361)
760 (0.4232202346679769, 0.5896076352067868) (0.3888281241365853, 0.5737009544008483)
780 (0.423754290821604, 0.584305408271474) (0.3921243283113565, 0.559915164369035)
800 (0.4195165651928711, 0.5726405090137858) (0.39031062809803707, 0.5694591728525981)
820 (0.4237957830277059, 0.574761399787911) (0.3887451141686222, 0.5524920466595971)
840 (0.43487963604638274, 0.6002120890774125) (0.3810290608869812, 0.5567338282078473)
860 (0.4205535222798344, 0.5906680805938495) (0.3942099667568868, 0.5652173913043478)
880 (0.4203202540529683, 0.5768822905620361) (0.38785381146269354, 0.5535524920466596)
900 (0.4368068035023066, 0.6055143160127253) (0.38440600724497614, 0.5705196182396607)
920 (0.42858910652867627, 0.5885471898197243) (0.38566509959946377, 0.5694591728525981)
940 (0.42253310737614364, 0.5864262990455992) (0.38791990914567515, 0.5609756097560976)
960 (0.428245920925104, 0.6076352067868505) (0.38417673738258507, 0.5588547189819725)
980 (0.4231118559789742, 0.5885471898197243) (0.39356816369935776, 0.5673382820784729)
1000 (0.4124645972536988, 0.5790031813361611) (0.378586831912784, 0.5535524920466596)
