epoch (val_ndcg@5, val_hr@5) (test_ndcg@5, test_hr@5)
20 (0.4976526062907758, 0.6632450331125828) (0.47820124040913486, 0.6443708609271523)
40 (0.5457217436646565, 0.7107615894039735) (0.5205036296290457, 0.6869205298013245)
60 (0.5687314722559983, 0.729635761589404) (0.5354599024211877, 0.702317880794702)
80 (0.57123130363052, 0.7362582781456953) (0.5391226685553222, 0.7052980132450332)
100 (0.5822631107108431, 0.7428807947019868) (0.5542263814346722, 0.7137417218543046)
120 (0.5843746766526156, 0.7447019867549669) (0.5537670188505531, 0.7127483443708609)
140 (0.5856056159270348, 0.7456953642384105) (0.557031393470245, 0.7178807947019867)
160 (0.5864464914634495, 0.7460264900662251) (0.5573359824890073, 0.7185430463576159)
180 (0.5892871431148775, 0.7473509933774835) (0.5557426636854613, 0.7114238410596027)
200 (0.585475175986915, 0.7463576158940397) (0.557006390985332, 0.7173841059602649)
220 (0.5867866377555739, 0.7480132450331126) (0.5588409109680128, 0.7178807947019867)
240 (0.5880551296556009, 0.7460264900662251) (0.5542286723681985, 0.7122516556291391)
260 (0.5871688780308314, 0.7456953642384105) (0.557170394725699, 0.7205298013245033)
280 (0.5861826185521725, 0.7438741721854305) (0.5588857095076002, 0.7200331125827815)
300 (0.5865439565227186, 0.7466887417218543) (0.5566140637210975, 0.713907284768212)
320 (0.590115864740869, 0.7503311258278146) (0.5582174150201403, 0.7177152317880795)
340 (0.5926978982888398, 0.7513245033112583) (0.5602118876139295, 0.7172185430463576)
360 (0.5892667787230271, 0.7506622516556292) (0.561466419450341, 0.7165562913907285)
380 (0.5916739997577996, 0.7519867549668874) (0.560900602178264, 0.7177152317880795)
400 (0.5878642036344897, 0.7435430463576159) (0.5617087774590483, 0.7205298013245033)
420 (0.5902588483530361, 0.7503311258278146) (0.5602212160915794, 0.7180463576158941)
440 (0.591845291933188, 0.748841059602649) (0.5610723019013919, 0.7195364238410596)
460 (0.5888753521020279, 0.7516556291390728) (0.5579084923609486, 0.7104304635761589)
480 (0.5859508237387417, 0.7427152317880795) (0.5572887248055205, 0.7167218543046358)
500 (0.5905042743371453, 0.7508278145695364) (0.5619094314139453, 0.7216887417218543)
520 (0.5887023616028991, 0.7524834437086093) (0.5554173105012818, 0.7173841059602649)
540 (0.5933950188400011, 0.7536423841059603) (0.5625052600100081, 0.7230132450331126)
560 (0.5908423910277909, 0.7481788079470199) (0.5565400885807287, 0.7119205298013245)
580 (0.59101843149265, 0.7483443708609272) (0.5611580014097626, 0.7198675496688741)
600 (0.5939601528419418, 0.7508278145695364) (0.5607586867316251, 0.7211920529801324)
620 (0.5915350877073784, 0.7483443708609272) (0.560027665621437, 0.7178807947019867)
640 (0.5937159624718917, 0.7516556291390728) (0.5619644334582644, 0.7243377483443708)
660 (0.5891183767505491, 0.7470198675496689) (0.560859744368081, 0.7188741721854305)
680 (0.5953454657963727, 0.7514900662251656) (0.5592638098777752, 0.7175496688741722)
700 (0.5883430126684414, 0.7480132450331126) (0.5610299639230093, 0.7190397350993377)
720 (0.587538770568649, 0.747682119205298) (0.5626053794928165, 0.7195364238410596)
740 (0.5955117515962162, 0.7533112582781457) (0.5578420518707116, 0.7183774834437087)
760 (0.5933301957608265, 0.7533112582781457) (0.5631370092576687, 0.7213576158940397)
780 (0.596332027190372, 0.7480132450331126) (0.5603615545986714, 0.7188741721854305)
800 (0.5916253255888703, 0.747682119205298) (0.5628298299425364, 0.7210264900662252)
820 (0.5892188821369557, 0.7491721854304636) (0.5586233670244218, 0.7188741721854305)
840 (0.593070021282691, 0.7531456953642384) (0.5649823658670949, 0.7213576158940397)
860 (0.5923206417595865, 0.7521523178807947) (0.5602752828928911, 0.7175496688741722)
880 (0.5949964753446155, 0.753476821192053) (0.5614388850389573, 0.7140728476821192)
900 (0.5947511461139489, 0.7536423841059603) (0.5561940334992824, 0.7187086092715231)
920 (0.5958812323728234, 0.7503311258278146) (0.5615110181614873, 0.722682119205298)
940 (0.5915300297283916, 0.7481788079470199) (0.562153992024768, 0.7235099337748344)
960 (0.5921424399465737, 0.7543046357615895) (0.5601805239571752, 0.7183774834437087)
980 (0.5921492560539214, 0.7493377483443708) (0.5620346912084361, 0.7200331125827815)
1000 (0.5835532773755451, 0.7463576158940397) (0.5582245426836283, 0.7190397350993377)
