epoch (val_ndcg@3, val_hr@3) (test_ndcg@3, test_hr@3)
20 (0.4500457044956273, 0.5556291390728477) (0.4230217218034565, 0.5235099337748345)
40 (0.5037551621020571, 0.6082781456953642) (0.4783294738499294, 0.5781456953642384)
60 (0.524537234786542, 0.6248344370860928) (0.4937836875141914, 0.5996688741721854)
80 (0.5349321981179037, 0.6367549668874172) (0.50402706840764, 0.6052980132450331)
100 (0.5368520369270328, 0.6402317880794702) (0.5057970522593424, 0.6077814569536424)
120 (0.5440065851271283, 0.6455298013245033) (0.5033648167520101, 0.6049668874172185)
140 (0.54651940258278, 0.6503311258278146) (0.5121297550449384, 0.6147350993377484)
160 (0.5404232632006852, 0.6451986754966887) (0.5136986757379375, 0.6158940397350994)
180 (0.5382513103742894, 0.6437086092715232) (0.5141284483219014, 0.6200331125827815)
200 (0.5452445373350272, 0.6451986754966887) (0.5187426901425021, 0.616887417218543)
220 (0.5398851050591285, 0.6440397350993378) (0.5131548631267735, 0.6140728476821192)
240 (0.5491388781155375, 0.6562913907284769) (0.5143255844914849, 0.6188741721854305)
260 (0.5486659086512524, 0.6531456953642384) (0.5120215268300613, 0.6135761589403973)
280 (0.5485950655043735, 0.6513245033112582) (0.5191664935714282, 0.6182119205298013)
300 (0.5515792822865401, 0.6519867549668874) (0.5100760839202921, 0.6122516556291391)
320 (0.5455755058201268, 0.6483443708609271) (0.5138524576844841, 0.6147350993377484)
340 (0.5520107823509924, 0.6582781456953642) (0.52142311267798, 0.6203642384105961)
360 (0.5470280296345776, 0.6506622516556292) (0.5120095885199856, 0.6130794701986755)
380 (0.5487131898634087, 0.6496688741721854) (0.5201421209324736, 0.6216887417218543)
400 (0.546687007662605, 0.6518211920529802) (0.5131842368738176, 0.6134105960264901)
420 (0.5486066891290196, 0.6514900662251656) (0.5119544533295888, 0.6144039735099338)
440 (0.5523910742141657, 0.6557947019867549) (0.5160856721990307, 0.6160596026490066)
460 (0.5506584754304619, 0.6567880794701987) (0.517329278876537, 0.6175496688741722)
480 (0.5468960821422643, 0.6481788079470199) (0.5169390908692052, 0.6163907284768212)
500 (0.5486718778062909, 0.6516556291390728) (0.515094022196073, 0.6197019867549669)
520 (0.546314412434956, 0.6552980132450331) (0.5173371328547776, 0.6223509933774835)
540 (0.5511140094577804, 0.6509933774834437) (0.5198265457184243, 0.623841059602649)
560 (0.5516125830227049, 0.6539735099337748) (0.5212889656770341, 0.623841059602649)
580 (0.5439335424716157, 0.6504966887417218) (0.5193004832296592, 0.6192052980132451)
600 (0.5505089351584659, 0.6526490066225166) (0.5219157170878665, 0.6254966887417218)
620 (0.5493124523504002, 0.6528145695364238) (0.5166610580658694, 0.6240066225165563)
640 (0.5529331593448433, 0.6548013245033113) (0.516083472690398, 0.6208609271523179)
660 (0.5531441186477033, 0.6594370860927152) (0.5188391373900186, 0.621523178807947)
680 (0.5505364240823082, 0.6529801324503312) (0.5229112940799432, 0.6205298013245033)
700 (0.5527203152187775, 0.6557947019867549) (0.5221027997705768, 0.6266556291390728)
720 (0.5489261913321885, 0.6529801324503312) (0.5203390997593418, 0.6223509933774835)
740 (0.5470654147025772, 0.6531456953642384) (0.5153464508987696, 0.6188741721854305)
760 (0.5456618995807696, 0.6556291390728477) (0.519672921114593, 0.6235099337748344)
780 (0.5470357262701034, 0.6587748344370861) (0.5179619994424075, 0.6201986754966887)
800 (0.5539244946623685, 0.6579470198675497) (0.5247362557793274, 0.628476821192053)
820 (0.5506941330179742, 0.6529801324503312) (0.5197476912505906, 0.6230132450331126)
840 (0.552615699307591, 0.6567880794701987) (0.5216890498285238, 0.6291390728476821)
860 (0.5503155686352865, 0.6549668874172185) (0.5191858138315987, 0.6228476821192053)
880 (0.5504259963587969, 0.6556291390728477) (0.520670068244441, 0.6205298013245033)
900 (0.5513406767171228, 0.6521523178807948) (0.5142330642330885, 0.6135761589403973)
920 (0.550284152722326, 0.6528145695364238) (0.5220853643336095, 0.6254966887417218)
940 (0.5537512351129364, 0.6543046357615894) (0.5146053447753074, 0.6185430463576159)
960 (0.5498798268962855, 0.6556291390728477) (0.5166967156533815, 0.6201986754966887)
980 (0.5507767571322116, 0.6551324503311259) (0.5184626151732497, 0.6185430463576159)
1000 (0.5509187581113982, 0.6541390728476821) (0.5216182066816454, 0.6231788079470199)
