epoch (val_ndcg@3, val_hr@3) (test_ndcg@3, test_hr@3)
20 (0.26892150090895567, 0.3457051961823966) (0.24155215039388198, 0.31283138918345704)
40 (0.3191035075026537, 0.3944856839872747) (0.29637938983866374, 0.3828207847295864)
60 (0.32985887768899, 0.4241781548250265) (0.3111622395621909, 0.40721102863202546)
80 (0.3547662640281818, 0.45068928950159065) (0.3114650799878841, 0.39766702014846234)
100 (0.37670762401151753, 0.47720042417815484) (0.34161130756704, 0.4432661717921527)
120 (0.3623030728715388, 0.4602332979851538) (0.34230653462733246, 0.43796394485683987)
140 (0.3671887682472393, 0.4602332979851538) (0.3387086669065326, 0.42735949098621423)
160 (0.3757860224776592, 0.471898197242842) (0.3482899005718876, 0.4432661717921527)
180 (0.38694585176110147, 0.47295864262990456) (0.34930004052037983, 0.44538706256627786)
200 (0.39383874677700786, 0.49204665959703076) (0.33927611478185543, 0.4432661717921527)
220 (0.39171785600288267, 0.4835630965005302) (0.33793798168838474, 0.43160127253446445)
240 (0.39243722798818814, 0.4909862142099682) (0.34757052858658183, 0.44644750795334043)
260 (0.38963519820482145, 0.47613997879109227) (0.34613178461597066, 0.43902439024390244)
280 (0.38187100709362626, 0.4740190880169671) (0.3595131155506784, 0.46129374337221635)
300 (0.39646470752537916, 0.4835630965005302) (0.3421043050787796, 0.440084835630965)
320 (0.38839767598849073, 0.48462354188759277) (0.33622155001136544, 0.43160127253446445)
340 (0.37266807201182, 0.4623541887592789) (0.3539080481896725, 0.45493107104984093)
360 (0.38820852669671646, 0.48462354188759277) (0.33493372235646507, 0.4369034994697773)
380 (0.36925935358279455, 0.4559915164369035) (0.34831606108544466, 0.43796394485683987)
400 (0.3831709072110332, 0.47720042417815484) (0.3382287496515716, 0.43160127253446445)
420 (0.36864059247462916, 0.4676564156945917) (0.34114447056885777, 0.4432661717921527)
440 (0.3788033620663577, 0.471898197242842) (0.33415096467581046, 0.42629904559915166)
460 (0.38272922293213607, 0.4878048780487805) (0.34190207553022695, 0.44538706256627786)
480 (0.37707385013255934, 0.47613997879109227) (0.34106901241100224, 0.4369034994697773)
500 (0.37491472638237067, 0.4708377518557794) (0.3293286549954589, 0.4305408271474019)
520 (0.38197161797076673, 0.47613997879109227) (0.3344789578207888, 0.4337221633085896)
540 (0.3763665506097605, 0.4750795334040297) (0.3479619074269088, 0.44538706256627786)
560 (0.38189615981291153, 0.471898197242842) (0.34551302350780544, 0.4432661717921527)
580 (0.38723661972428797, 0.47295864262990456) (0.33894812163687715, 0.4411452810180276)
600 (0.38309544905317794, 0.47720042417815484) (0.33401212082260634, 0.4284199363732768)
620 (0.383045143614608, 0.47932131495228) (0.33739568653234703, 0.4284199363732768)
640 (0.38410558900167024, 0.48250265111346763) (0.34445257812074287, 0.43478260869565216)
660 (0.37765437826466103, 0.4740190880169671) (0.3273214553552525, 0.4209968186638388)
680 (0.3867567024693268, 0.48568398727465534) (0.3512056214891733, 0.45387062566277836)
700 (0.37550833477125084, 0.46659597030752914) (0.3411706310824149, 0.4305408271474019)
720 (0.38021695331768374, 0.4782608695652174) (0.34180146465308636, 0.43478260869565216)
740 (0.3750163450537833, 0.4708377518557794) (0.34692661475913145, 0.45493107104984093)
760 (0.3896221179480426, 0.4867444326617179) (0.340172563596429, 0.4369034994697773)
780 (0.3797118833434375, 0.47932131495228) (0.34518503036282744, 0.42735949098621423)
800 (0.37809606254355843, 0.47613997879109227) (0.3347697257839756, 0.4252386002120891)
820 (0.38487526642554604, 0.4687168610816543) (0.3456518673610098, 0.43796394485683987)
840 (0.386604778359344, 0.48462354188759277) (0.3489468946561163, 0.44538706256627786)
860 (0.37853774682245594, 0.4899257688229056) (0.33817844421300125, 0.4305408271474019)
880 (0.3831336820292417, 0.4740190880169671) (0.3308056319421333, 0.4284199363732768)
900 (0.3785125941031706, 0.47720042417815484) (0.3464215447848854, 0.44538706256627786)
920 (0.38466096441448644, 0.47932131495228) (0.3340624262611765, 0.43902439024390244)
940 (0.38538033639979213, 0.48568398727465534) (0.3270055346727803, 0.41993637327677624)
960 (0.38295660519997393, 0.48250265111346763) (0.3356530943417705, 0.4305408271474019)
980 (0.37894220591956185, 0.4750795334040297) (0.3317775389145624, 0.4284199363732768)
1000 (0.3895335795334085, 0.4867444326617179) (0.3343531942243635, 0.42948038176033937)
